# big5 unicode
0xFFFD 0x017A
0xFFFD 0x017B
0xFFFD 0x017C
0xFFFD 0x017D
0xFFFD 0x017E
0xFFFD 0x017F
0xFFFD 0x0180
0xFFFD 0x0181
0xFFFD 0x0182
0xFFFD 0x0183
0xFFFD 0x0184
0xFFFD 0x0185
0xFFFD 0x0186
0xFFFD 0x0187
0xFFFD 0x0188
0xFFFD 0x0189
0xFFFD 0x018A
0xFFFD 0x018B
0xFFFD 0x018C
0xFFFD 0x018D
0xFFFD 0x018E
0xFFFD 0x018F
0xFFFD 0x0190
0xFFFD 0x0191
0xA0FE 0x0192
0xFFFD 0x0193
0xFFFD 0x0194
0xFFFD 0x0195
0xFFFD 0x0196
0xFFFD 0x0197
0xFFFD 0x0198
0xFFFD 0x0199
0xFFFD 0x019A
0xFFFD 0x019B
0xFFFD 0x019C
0xFFFD 0x019D
0xFFFD 0x019E
0xFFFD 0x019F
0xFFFD 0x01A0
0xFFFD 0x01A1
0xFFFD 0x01A2
0xFFFD 0x01A3
0xFFFD 0x01A4
0xFFFD 0x01A5
0xFFFD 0x01A6
0xFFFD 0x01A7
0xFFFD 0x01A8
0xFFFD 0x01A9
0xFFFD 0x01AA
0xFFFD 0x01AB
0xFFFD 0x01AC
0xFFFD 0x01AD
0xFFFD 0x01AE
0xFFFD 0x01AF
0xFFFD 0x01B0
0xFFFD 0x01B1
0xFFFD 0x01B2
0xFFFD 0x01B3
0xFFFD 0x01B4
0xFFFD 0x01B5
0xFFFD 0x01B6
0xFFFD 0x01B7
0xFFFD 0x01B8
0xFFFD 0x01B9
0xFFFD 0x01BA
0xFFFD 0x01BB
0xFFFD 0x01BC
0xFFFD 0x01BD
0xFFFD 0x01BE
0xFFFD 0x01BF
0xFFFD 0x01C0
0xFFFD 0x01C1
0xFFFD 0x01C2
0xFFFD 0x01C3
0xFFFD 0x01C4
0xFFFD 0x01C5
0xFFFD 0x01C6
0xFFFD 0x01C7
0xFFFD 0x01C8
0xFFFD 0x01C9
0xFFFD 0x01CA
0xFFFD 0x01CB
0xFFFD 0x01CC
0xFFFD 0x01CD
0xA0D0 0x01CE
0xFFFD 0x01CF
0xA0D2 0x01D0
0xFFFD 0x01D1
0xA0D3 0x01D2
0xFFFD 0x01D3
0xA0D4 0x01D4
0xFFFD 0x01D5
0xA0B5 0x01D6
0xFFFD 0x01D7
0xA0C5 0x01D8
0xFFFD 0x01D9
0xA0D5 0x01DA
0xFFFD 0x01DB
0xA0E5 0x01DC
0xFFFD 0x01DD
0xFFFD 0x01DE
0xFFFD 0x01DF
0xFFFD 0x01E0
0xFFFD 0x01E1
0xFFFD 0x01E2
0xFFFD 0x01E3
0xFFFD 0x01E4
0xFFFD 0x01E5
0xFFFD 0x01E6
0xFFFD 0x01E7
0xFFFD 0x01E8
0xFFFD 0x01E9
0xFFFD 0x01EA
0xFFFD 0x01EB
0xFFFD 0x01EC
0xFFFD 0x01ED
0xFFFD 0x01EE
0xFFFD 0x01EF
0xFFFD 0x01F0
0xFFFD 0x01F1
0xFFFD 0x01F2
0xFFFD 0x01F3
0xFFFD 0x01F4
0xFFFD 0x01F5
0xFFFD 0x01F6
0xFFFD 0x01F7
0xFFFD 0x01F8
0xFFFD 0x01F9
0xFFFD 0x01FA
0xFFFD 0x01FB
0xFFFD 0x01FC
0xFFFD 0x01FD
0xFFFD 0x01FE
0xFFFD 0x01FF
0xFFFD 0x0200
0xFFFD 0x0201
0xFFFD 0x0202
0xFFFD 0x0203
0xFFFD 0x0204
0xFFFD 0x0205
0xFFFD 0x0206
0xFFFD 0x0207
0xFFFD 0x0208
0xFFFD 0x0209
0xFFFD 0x020A
0xFFFD 0x020B
0xFFFD 0x020C
0xFFFD 0x020D
0xFFFD 0x020E
0xFFFD 0x020F
0xFFFD 0x0210
0xFFFD 0x0211
0xFFFD 0x0212
0xFFFD 0x0213
0xFFFD 0x0214
0xFFFD 0x0215
0xFFFD 0x0216
0xFFFD 0x0217
0xFFFD 0x0218
0xFFFD 0x0219
0xFFFD 0x021A
0xFFFD 0x021B
0xFFFD 0x021C
0xFFFD 0x021D
0xFFFD 0x021E
0xFFFD 0x021F
0xFFFD 0x0220
0xFFFD 0x0221
0xFFFD 0x0222
0xFFFD 0x0223
0xFFFD 0x0224
0xFFFD 0x0225
0xFFFD 0x0226
0xFFFD 0x0227
0xFFFD 0x0228
0xFFFD 0x0229
0xFFFD 0x022A
0xFFFD 0x022B
0xFFFD 0x022C
0xFFFD 0x022D
0xFFFD 0x022E
0xFFFD 0x022F
0xFFFD 0x0230
0xFFFD 0x0231
0xFFFD 0x0232
0xFFFD 0x0233
0xFFFD 0x0234
0xFFFD 0x0235
0xFFFD 0x0236
0xFFFD 0x0237
0xFFFD 0x0238
0xFFFD 0x0239
0xFFFD 0x023A
0xFFFD 0x023B
0xFFFD 0x023C
0xFFFD 0x023D
0xFFFD 0x023E
0xFFFD 0x023F
0xFFFD 0x0240
0xFFFD 0x0241
0xFFFD 0x0242
0xFFFD 0x0243
0xFFFD 0x0244
0xFFFD 0x0245
0xFFFD 0x0246
0xFFFD 0x0247
0xFFFD 0x0248
0xFFFD 0x0249
0xFFFD 0x024A
0xFFFD 0x024B
0xFFFD 0x024C
0xFFFD 0x024D
0xFFFD 0x024E
0xFFFD 0x024F
0xFFFD 0x0250
0x9BCB 0x0251
0x9BE6 0x0252
0xFFFD 0x0253
